#id	Scientific name (interpreted)	Longitude	Latitud	c1
1	Horkelia californica	-123.82	39.74	UC478901
2	Horkelia californica	-123.8	39.45	JEPS44581
3	Horkelia californica	-123.78	39.59	UC595127
4	Horkelia californica	-123.77	39.22	UC903178
5	Horkelia californica	-123.76	39.45	UC860212
6	Horkelia californica	-123.76	39.52	UC636998
7	Horkelia californica	-123.72	39.44	UC618434
8	Horkelia californica	-123.7	38.94	UC860546
9	Horkelia californica	-123.62	39.15	89
10	Horkelia californica	-123.61	39.15	UC903109
11	Horkelia californica	-123.59	39.26	UC123595
12	Horkelia californica	-123.58	39.69	UC618520
13	Horkelia californica	-123.48	39.69	UC83555
14	Horkelia californica	-123.44	39.07	UC574874
15	Horkelia californica	-123.43	39.43	75
16	Horkelia californica	-123.43	39.56	JEPS79902
17	Horkelia californica	-123.32	40.37	UC583084
18	Horkelia californica	-123.29	38.54	UC903144
19	Horkelia californica	-123.12	38.45	UCR20670
20	Horkelia californica	-123.11	38.97	JEPS44579
21	Horkelia californica	-123.06	38.35	JEPS95270
22	Horkelia californica	-123.05	38.33	UC116850
23	Horkelia californica	-123.05	38.42	UC582808
24	Horkelia californica	-123.05	38.45	UC903149
25	Horkelia californica	-123.01	38	UC650352
26	Horkelia californica	-123.01	38.47	JEPS44586
27	Horkelia californica	-122.94	39.28	UC154240
28	Horkelia californica	-122.93	39.5	UC173988
29	Horkelia californica	-122.87	38.61	UC72982
30	Horkelia californica	-122.84	39	UC555506
31	Horkelia californica 	-122.79	38.92	60
32	Horkelia californica	-122.78	38.92	JEPS96963
33	Horkelia californica	-122.77	38.02	JEPS78373
34	Horkelia californica	-122.77	38.92	UC525513
35	Horkelia californica	-122.76	38	UC1753833
36	Horkelia californica	-122.76	39.34	JEPS81278
37	Horkelia californica	-122.74	38.04	56
38	Horkelia californica	-122.74	38.81	UC353831
39	Horkelia californica	-122.74	38.83	UC525499
40	Horkelia californica	-122.73	38.88	UC903108
41	Horkelia californica	-122.72	38.82	UC595122
42	Horkelia californica	-122.72	39.23	UCD41797
43	Horkelia californica	-122.72	39.66	JEPS88739
44	Horkelia californica	-122.71	39.23	UCD42001
45	Horkelia californica	-122.7	37.91	UC1614385
46	Horkelia californica	-122.7	38.01	UC212554
47	Horkelia californica	-122.7	39.24	UCD41730
48	Horkelia californica	-122.7	39.25	UCD41651
49	Horkelia californica	-122.7	39.38	JEPS80817
50	Horkelia californica	-122.69	37.91	UC1177242
51	Horkelia californica 	-122.67	39.66	98
52	Horkelia californica	-122.67	39.84	JEPS106294
53	Horkelia californica	-122.67	39.85	CHSC87904
54	Horkelia californica	-122.66	39.66	UC1586436
55	Horkelia californica	-122.59	37.87	5
56	Horkelia californica	-122.58	37.86	UC750571
57	Horkelia californica	-122.56	37.79	6
58	Horkelia californica	-122.52	37.54	JEPS34468
59	Horkelia californica	-122.51	38.52	JEPS110558
60	Horkelia californica	-122.49	37.67	UC1536910
61	Horkelia californica	-122.49	37.72	UC144436
62	Horkelia californica	-122.49	39.14	CHSC88588
63	Horkelia californica	-122.48	39.15	CHSC84229
64	Horkelia californica	-122.47	37.61	UC618479
65	Horkelia californica	-122.46	39.16	JEPS93802
66	Horkelia californica	-122.45	37.74	JEPS44583
67	Horkelia californica	-122.45	37.75	JEPS73584
68	Horkelia californica	-122.44	37.69	JEPS29415
69	Horkelia californica	-122.42	37.78	UC83507
70	Horkelia californica	-122.41	38.85	UCD20619
71	Horkelia californica	-122.4	37.35	RSA181227
72	Horkelia californica	-122.39	37.15	UC1128147
73	Horkelia californica	-122.39	37.71	UC860213
74	Horkelia californica	-122.37	37.16	UC1041008
75	Horkelia californica	-122.36	37.44	8
76	Horkelia californica	-122.27	37.87	UC12385
77	Horkelia californica	-122.24	37.87	UC1618287
78	Horkelia californica	-122.21	38.05	UC70332
79	Horkelia californica	-122.2	38.05	UC1606349
80	Horkelia californica	-122.01	37.03	7
81	Horkelia californica	-121.98	37.58	JEPS44580
82	Horkelia californica	-121.96	37.58	UC555296
83	Horkelia californica	-121.95	36.52	UCR142818
84	Horkelia californica	-121.93	37.86	UC691097
85	Horkelia californica	-121.93	37.87	UC691094
86	Horkelia californica	-121.91	37.88	UC521670
87	Horkelia californica	-121.91	37.9	UC723810
88	Horkelia californica	-121.91	37.91	36
89	Horkelia californica	-121.9	37.91	UC691150
90	Horkelia californica	-121.89	37.59	31
91	Horkelia californica	-121.89	37.59	UC555563
92	Horkelia californica	-121.69	37.23	26
93	Horkelia californica	-121.58	39.87	CDA14086
94	Horkelia californica	-121.57	39.71	CHSC29838
95	Horkelia californica	-121.55	39.59	JEPS94725
96	Horkelia californica	-121.54	39.6	CHSC71189
97	Horkelia californica	-121.5	39.62	CHSC86111
98	Horkelia californica	-121.49	39.76	CHSC43219
99	Horkelia californica	-121.48	39.35	CHSC32108
100	Horkelia californica	-121.46	39.64	CHSC42332
101	Horkelia californica	-121.31	36.24	1
102	Horkelia californica	-121.3	39.51	CHSC74119
103	Horkelia californica	-121.29	39.48	CHSC84161
104	Horkelia californica	-121.28	39.47	JEPS104035
105	Horkelia californica	-121.18	36.71	JEPS87021
106	Horkelia californica	-121	37.64	UC762993
107	Horkelia californica	-120.9	38.38	CHSC89529
108	Horkelia californica	-120.87	38.34	UCR201541
109	Horkelia californica	-120.82	35.32	UCR13790
110	Horkelia californica	-120.63	38.44	UC186330
111	Horkelia californica	-120.62	37.94	CDA16475
112	Horkelia californica	-120.6	37.73	UC763050
113	Horkelia californica	-120.44	37.81	CDA16942
114	Horkelia californica	-120.42	37.87	UC1520587
115	Horkelia californica	-120.2	38.05	JEPS44515
116	Horkelia californica	-120.04	37.81	38
117	Horkelia californica	-119.93	37.81	JEPS91110
118	Horkelia californica	-119.41	37.08	UC1128163
119	Horkelia californica	-119.36	37.06	UC903277
120	Horkelia californica	-119.32	37.12	UC1736387
121	Horkelia californica	-118.94	36.7	UC1736388
122	Horkelia californica	-117.28	34.27	UCR93416
123	Horkelia californica	-117.28	34.28	RSA614926
#id	Scientific name	Longitude	Latitude	c1
1	Horkeliella congdonis	-119.27	38.41	UC1559689
2	Horkeliella congdonis	-119.13	37.85	UC1338603
3	Horkeliella congdonis	-119.12	37.92	JEPS96937
4	Horkeliella congdonis	-119.08	37.88	JEPS96956
5	Horkeliella congdonis	-118.85	37.87	UC1786792
6	Horkeliella congdonis	-118.67	37.52	JEPS96967
7	Horkeliella congdonis	-118.65	36.58	UC185381
8	Horkeliella congdonis	-118.64	37.54	UC579823
9	Horkeliella congdonis	-118.63	37.79	RSA682808
10	Horkeliella congdonis	-118.63	37.52	JEPS105269
11	Horkeliella congdonis	-118.63	37.31	UC1360421
12	Horkeliella congdonis	-118.62	37.78	UC1787123
